finding_id,category,status,summary,repository_path,line_or_symbol,environment,feature_flag,confidence,report_file
"E001","product","OBSERVED","Eén pnpm-workspace bevat één actieve Next.js-webapp.","package.json; apps/web/package.json; pnpm-workspace.yaml","root scripts; dependencies; packages","all","none","high","01-product-and-environment-map.md"
"E002","product","OBSERVED","Marketing, publieke tenant, ouder, instructor, admin en platformportals hebben bereikbare App Router-pages.","apps/web/app","page.tsx route inventory","all","none","high","01-product-and-environment-map.md"
"E003","api","OBSERVED","Zeven route handlers dekken health, private files, billing, Journey Bot, offboardingexport en Mollie-webhook.","apps/web/app/api","route.ts inventory","all","config dependent","high","01-product-and-environment-map.md"
"E004","operations","OBSERVED","GitHub Actions verzorgen deploy, schedules, audits, monitoring, tests, backups en rehearsals.",".github/workflows","workflow inventory; deploy.yml","staging/production","workflow inputs and environment vars","high","01-product-and-environment-map.md"
"E005","tenant-isolation","OBSERVED","Hostnameclassificatie en tenantdomeinen vormen de routinggrens; custom-domainpad is gedeeltelijk.","apps/web/lib/tenant/resolution.ts; apps/web/proxy.ts; supabase/migrations/20260623222604_identity_boundary.sql","resolveTenantHost; createTenantAwareResponse; tenant_domains","all","TENANT_BASE_DOMAINS","high","01-product-and-environment-map.md"
"E006","roles","OBSERVED","Platform- en tenantrollen zijn vast gedefinieerd; athlete heeft geen normale uitnodigingsflow.","apps/web/lib/auth/roles.ts; apps/web/lib/auth/access.ts","platformRoles; tenantRoles; privateShellAccessRules","all","none","high","01-product-and-environment-map.md"
"E007","database","OBSERVED","Versioned SQL-migraties zijn de database source-of-truth.","supabase/migrations; supabase/README.md","migration files; README","all","RUN_DB_MIGRATIONS","high","01-product-and-environment-map.md"
"E008","tenant-isolation","OBSERVED","Tenant-FKs, RLShelpers, RLS en FORCE RLS beperken tenanttoegang.","supabase/migrations/20260623222604_identity_boundary.sql; supabase/migrations/20260722023000_phase_24_force_rls_owner_hardening.sql","current_user_has_tenant_role; RLS policies; FORCE RLS","all","none","high","08-security-and-access-controls.md"
"E009","white-label","INFERRED","Branding en pwa_enabled worden opgeslagen, maar runtimeconsumptie is gedeeltelijk.","supabase/migrations/20260723120000_phase_25_premium_operations.sql; apps/web/lib/domain/premium-operations-actions.ts","tenant_branding; saveBrandingAction","all","pwa_enabled","high","01-product-and-environment-map.md"
"E010","pwa","OBSERVED","Manifest en production-only serviceworker cachen uitsluitend statische same-origin assets.","apps/web/app/manifest.ts; apps/web/components/pwa-register.tsx; apps/web/public/sw.js","manifest; PwaRegister; CACHE","production build","NODE_ENV=production","high","06-cookies-storage-pwa-and-tracking.md"
"E011","environment","OBSERVED","Dev, staging en productie hebben gescheiden config/deployconcepten; live state is niet uit repo bewezen.",".env.example; .github/workflows/deploy.yml; scripts/release/audit-production-foundation.mjs","APP_ENV; target; Supabase fingerprints","dev/staging/production","APP_ENV","high","01-product-and-environment-map.md"
"E012","testing","OBSERVED","Journey Bot en seeds zijn als synthetische stagingtest gemarkeerd en onderdrukken mail/betalingen.","apps/web/lib/domain/journey-bot.ts; scripts/staging/seed-journey-bot-waterlijn.mjs","SOURCE; is_test; suppress_notifications; suppress_payments","staging intended","ALLOW_JOURNEY_BOT_IN_PRODUCTION; ALLOW_JOURNEY_BOT_SEED","high","01-product-and-environment-map.md"
"E013","hosting","UNKNOWN","VPS/Caddy/systemd-infra is aantoonbaar, maar hostingprovider, regio en actuele runtime-SHA niet.",".github/workflows/deploy.yml; docs/VPS_DEPLOY_RUNBOOK.md","release path; systemd; Caddy","staging/production","SERVICE_NAME; PORT","medium","05-vendors-and-integrations.md"
"E014","negative-inventory","OBSERVED","Geen native app, Edge Functions, externe queue, push of aparte workerpackage aangetroffen.","apps; supabase; apps/web","repository directory and API search","repository","none","high","01-product-and-environment-map.md"
"E021","security","OBSERVED","Server-only Supabase adminclient gebruikt een secret en omzeilt daarmee RLS.","apps/web/lib/supabase/admin.ts","createAdminClient","all","SUPABASE_SECRET_KEY","high","08-security-and-access-controls.md"
"E022","access","OBSERVED","Platformsupport en tenantstaff hebben brede technische toegang; JIT-supportcontrole ontbreekt.","apps/web/lib/auth/access.ts; supabase/migrations/20260623222604_identity_boundary.sql","platform_admin shell; current_user_has_platform_role; current_user_can_view_profile","all","none","high","08-security-and-access-controls.md"
"E023","feature-flags","OBSERVED","Providers, bot, monitoring, migrations en bootstrap zijn via env- of DB-flags geschakeld.",".env.example; apps/web/app/api/internal/billing/collections/route.ts","configuration variables; provider public_config","all","multiple","high","01-product-and-environment-map.md"
"E024","personal-data","OBSERVED","Accounts bewaren Auth-ID, e-mail, profielnaam, avatar, telefoon, security- en invitegegevens.","supabase/migrations/20260707152802_phase_3_auth_flows.sql; supabase/migrations/20260707165845_phase_7_parent_portal_self_service.sql","profiles; user_security; auth_invitations","all","none","high","02-data-subjects-and-data-catalogue.md"
"E025","minors","OBSERVED","Participant, volledige DOB, guardianrelaties, enrollment en groep vormen het kinddossier.","supabase/migrations/20260707160455_phase_4_core_domain_model.sql; supabase/migrations/20260707165845_phase_7_parent_portal_self_service.sql","participants; enrollments; participant_guardians","all","none","high","02-data-subjects-and-data-catalogue.md"
"E026","intake","OBSERVED","Dynamische intake verzamelt kind-, ouder-, voorkeur-, ervaring- en vrije tekstdata inclusief tweede verzorger.","apps/web/lib/domain/intake-actions.ts; apps/web/components/public/intake-wizard.tsx; supabase/migrations/20260724120000_dynamic_public_intake_wizard.sql","submitIntake; IntakeWizard; intake_submissions extensions","all","none","high","02-data-subjects-and-data-catalogue.md"
"E027","abuse-prevention","CONFLICT","Intake gebruikt rate limit en IP-UA-hash; zonder session/JWT secret valt HMAC terug op unsalted SHA-256.","apps/web/lib/domain/intake-actions.ts; supabase/migrations/20260724090000_sprint_31_safe_intake_onboarding_import_offboarding.sql","getAbuseFingerprint; consume_public_intake_rate_limit","all","SESSION_SECRET or JWT_SECRET","high","08-security-and-access-controls.md"
"E028","analytics","OBSERVED","First-party leadattributie en analyticsconsent worden gesanitized en op intake opgeslagen.","apps/web/lib/analytics/attribution.ts; apps/web/lib/analytics/client.ts; supabase/migrations/20260725100000_privacy_first_analytics_lead_attribution.sql","normalizeAttribution; captureClientAttribution; intake columns","public","analytics_enabled; measurement ID","high","06-cookies-storage-pwa-and-tracking.md"
"E029","automation","OBSERVED","Wait-band en placement scoring zijn deterministisch advies met staffactie en audit.","apps/web/lib/domain/placement.ts; apps/web/lib/domain/placement-actions.ts","computePlacementScores; scoreWaitlistEntryAction; createSlotOfferAction","all","none","high","10-children-automation-and-dpia-input.md"
"E030","lesson-data","OBSERVED","Programma, niveau, resources, groepen, sessies en instructor assignments structureren lessen.","supabase/migrations/20260707160455_phase_4_core_domain_model.sql","programs through group_memberships","all","none","high","02-data-subjects-and-data-catalogue.md"
"E031","progress","OBSERVED","Aanwezigheid, vrije notes, scores, visibility en badges leggen ontwikkeling vast.","supabase/migrations/20260707171704_phase_8_instructor_shell_attendance_progress.sql; supabase/migrations/20260707173644_phase_9_progress_badges_notifications.sql","session_attendance; progress_notes; participant_progress_scores; participant_badge_awards","all","none","high","02-data-subjects-and-data-catalogue.md"
"E032","graduation","OBSERVED","Readiness, examenevents, resultaten en certificaten volgen op menselijke beoordeling.","supabase/migrations/20260707180102_phase_10_graduation_diploma_vault.sql; apps/web/lib/domain/graduation-actions.ts","graduation tables; graduation actions","all","none","high","10-children-automation-and-dpia-input.md"
"E033","communications","OBSERVED","Berichten, notificaties en e-mailattempts bewaren inhoud, ontvanger, status en errors.","supabase/migrations/20260707195442_phase_12_admin_operations.sql; supabase/migrations/20260708235317_phase_17_communication_storage_documents.sql","tenant_messages; tenant_notifications; email_delivery_attempts","all","email provider enabled","high","02-data-subjects-and-data-catalogue.md"
"E034","storage","OBSERVED","Twee private 20MB-buckets met MIME-allowlists en signed URLs bewaren documenten/diploma's; malwarecheck ontbreekt.","supabase/migrations/20260708235317_phase_17_communication_storage_documents.sql; apps/web/lib/storage/private-files.ts","storage.buckets; storage policies; createSignedUrl","all","none","high","08-security-and-access-controls.md"
"E035","billing","OBSERVED","Tenant-naar-ouder billing bewaart plans, subscriptions, payments, invoices en events.","supabase/migrations/20260707181731_phase_11_manual_payments_subscriptions.sql; supabase/migrations/20260709005834_phase_20_billing_automation_boundary.sql","payment_plans; subscriptions; manual_payments; billing_invoices","all","provider config","high","02-data-subjects-and-data-catalogue.md"
"E036","vendor-mollie","OBSERVED","Mollie-integratie verstuurt guardian-, bedrag- en UUID-metadata en bewaart providerstatus/payloads.","apps/web/lib/domain/mollie.ts; apps/web/lib/domain/billing-recurring-actions.ts; supabase/migrations/20260723211500_phase_28_mollie_mandate_collection_lifecycle.sql","mollieRequest; customer/payment creation; billing_mandates","config dependent","MOLLIE key; provider flags","high","05-vendors-and-integrations.md"
"E037","imports","OBSERVED","CSV-import bewaart raw en normalized rows en ondersteunt mapping, validatie, dry-run, apply en rollback.","apps/web/lib/domain/premium-operations-actions.ts; apps/web/lib/domain/import-actions.ts; supabase/migrations/20260723120000_phase_25_premium_operations.sql","createImportJobAction; applyImportAction; import_jobs/import_rows","all","none","high","03-processing-and-data-flows.md"
"E038","offboarding","OBSERVED","Platformoffboarding ondersteunt export, schorsing, 30-365 dagen, owner approval, Storagedelete en tenantcascade.","apps/web/lib/domain/tenant-lifecycle-actions.ts; apps/web/app/api/platform/offboarding/[id]/export/route.ts","startTenantOffboardingAction through permanentlyDeleteTenantAction; GET","all","none","high","07-retention-deletion-export-and-backups.md"
"E039","consent","PLANNED","Media-consentschema en RLS bestaan zonder aangetroffen appflow.","supabase/migrations/20260723120000_phase_25_premium_operations.sql","media_consents; media consent policies","all","none","high","09-consent-and-data-subject-rights.md"
"E040","automation","CONFLICT","Automation rules kunnen active zijn maar een algemene executor en automation_runs writes ontbreken.","apps/web/lib/domain/premium-operations-actions.ts; apps/web/app/(tenant-admin)/admin/automatisering/page.tsx","createAutomationRuleAction; automation page","all","rule status","high","10-children-automation-and-dpia-input.md"
"E041","testing","OBSERVED","Journey Bot maakt gemarkeerde synthetische volledige kindjourneys.","apps/web/lib/domain/journey-bot.ts; supabase/migrations/20260724170000_journey_simulation_bot.sql","createJourneyProfile; journey tables; is_test","staging intended","Journey Bot config","high","10-children-automation-and-dpia-input.md"
"E042","data-catalogue","INFERRED","Geen gerichte medische, biometrische, BSN- of GPS-velden; vrije tekst/JSON/uploads kunnen zulke data bevatten.","apps/web; supabase/migrations","repository-wide structured-field search","all","none","medium","02-data-subjects-and-data-catalogue.md"
"E043","reporting","OBSERVED","Leadrapport aggregeert herkomst/conversie/consent en sluit is_test uit.","apps/web/lib/analytics/lead-report.ts; apps/web/app/(tenant-admin)/admin/rapportages/page.tsx","buildLeadAttributionReport; report page","all","none","high","03-processing-and-data-flows.md"
"E044","audit","OBSERVED","Procesevents en vrije payloads dupliceren soms PII; er is geen centraal auditcontract.","apps/web/lib/domain/intake-actions.ts; supabase/migrations/20260707163627_phase_6_waitlist_placement_slot_offers.sql","tenant_events insert; placement_audit_events","all","none","high","08-security-and-access-controls.md"
"E045","auth","OBSERVED","Supabase identity, role guards, password policy en reset-rate-limit vormen de authflow.","apps/web/lib/auth/server-context.ts; apps/web/lib/auth/server-guard.ts; apps/web/lib/auth/password-reset.ts; apps/web/lib/auth/password-policy.ts","getTrustedAuthContext; requirePrivateShellContext; reset functions","all","Supabase config; AUTH_CODE_PEPPER","high","08-security-and-access-controls.md"
